================================================================================
PHASE 1 — SAMPLE SIGNINGS BY LIFT HASH
================================================================================
vertices: 15
edges:    30
negatives target: 14
sample limit:     250000
cycle basis size: 16

... samples=163500 cycle_sigs=16018 lift_hashes=1
... samples=164000 cycle_sigs=16032 lift_hashes=1
... samples=164500 cycle_sigs=16036 lift_hashes=1
... samples=165000 cycle_sigs=16039 lift_hashes=1
... samples=165500 cycle_sigs=16039 lift_hashes=1
... samples=166000 cycle_sigs=16039 lift_hashes=1
... samples=166500 cycle_sigs=16040 lift_hashes=1
... samples=167000 cycle_sigs=16040 lift_hashes=1
... samples=167500 cycle_sigs=16040 lift_hashes=1
... samples=168000 cycle_sigs=16048 lift_hashes=1
... samples=168500 cycle_sigs=16054 lift_hashes=1
... samples=169000 cycle_sigs=16054 lift_hashes=1
... samples=169500 cycle_sigs=16064 lift_hashes=1
... samples=170000 cycle_sigs=16076 lift_hashes=1
... samples=170500 cycle_sigs=16079 lift_hashes=1
... samples=171000 cycle_sigs=16081 lift_hashes=1
... samples=171500 cycle_sigs=16091 lift_hashes=1
... samples=172000 cycle_sigs=16093 lift_hashes=1
... samples=172500 cycle_sigs=16094 lift_hashes=1
... samples=173000 cycle_sigs=16096 lift_hashes=1
... samples=173500 cycle_sigs=16096 lift_hashes=1
... samples=174000 cycle_sigs=16096 lift_hashes=1
... samples=174500 cycle_sigs=16098 lift_hashes=1
... samples=175000 cycle_sigs=16098 lift_hashes=1
... samples=175500 cycle_sigs=16102 lift_hashes=1
... samples=176000 cycle_sigs=16102 lift_hashes=1
... samples=176500 cycle_sigs=16102 lift_hashes=1
... samples=177000 cycle_sigs=16112 lift_hashes=1
... samples=177500 cycle_sigs=16122 lift_hashes=1
... samples=178000 cycle_sigs=16126 lift_hashes=1
... samples=178500 cycle_sigs=16126 lift_hashes=1
... samples=179000 cycle_sigs=16126 lift_hashes=1
... samples=179500 cycle_sigs=16127 lift_hashes=1
... samples=180000 cycle_sigs=16145 lift_hashes=1
... samples=180500 cycle_sigs=16152 lift_hashes=1
... samples=181000 cycle_sigs=16169 lift_hashes=1
... samples=181500 cycle_sigs=16172 lift_hashes=1
... samples=182000 cycle_sigs=16176 lift_hashes=1
... samples=182500 cycle_sigs=16176 lift_hashes=1
... samples=183000 cycle_sigs=16177 lift_hashes=1
... samples=183500 cycle_sigs=16177 lift_hashes=1
... samples=184000 cycle_sigs=16177 lift_hashes=1
... samples=184500 cycle_sigs=16187 lift_hashes=1
... samples=185000 cycle_sigs=16192 lift_hashes=1
... samples=185500 cycle_sigs=16192 lift_hashes=1
... samples=186000 cycle_sigs=16193 lift_hashes=1
... samples=186500 cycle_sigs=16193 lift_hashes=1
... samples=187000 cycle_sigs=16193 lift_hashes=1
... samples=187500 cycle_sigs=16193 lift_hashes=1
... samples=188000 cycle_sigs=16193 lift_hashes=1
... samples=188500 cycle_sigs=16194 lift_hashes=1
... samples=189000 cycle_sigs=16194 lift_hashes=1
... samples=189500 cycle_sigs=16194 lift_hashes=1
... samples=190000 cycle_sigs=16194 lift_hashes=1
... samples=190500 cycle_sigs=16194 lift_hashes=1
... samples=191000 cycle_sigs=16198 lift_hashes=1
... samples=191500 cycle_sigs=16198 lift_hashes=1
... samples=192000 cycle_sigs=16198 lift_hashes=1
... samples=192500 cycle_sigs=16201 lift_hashes=1
... samples=193000 cycle_sigs=16201 lift_hashes=1
... samples=193500 cycle_sigs=16202 lift_hashes=1
... samples=194000 cycle_sigs=16202 lift_hashes=1
... samples=194500 cycle_sigs=16202 lift_hashes=1
... samples=195000 cycle_sigs=16202 lift_hashes=1
... samples=195500 cycle_sigs=16202 lift_hashes=1
... samples=196000 cycle_sigs=16203 lift_hashes=1
... samples=196500 cycle_sigs=16203 lift_hashes=1
... samples=197000 cycle_sigs=16203 lift_hashes=1
