================================================================================
PHASE 1 — FULL ENUMERATION OF 14/16 SIGNINGS BY LIFT HASH
================================================================================
vertices: 15
edges:    30
negatives target: 14
total signings:   145422675
cycle basis size: 16

... samples=415000/145422675 ( 0.285%) cycle_sigs=16384 lift_hashes=1 rate=  7413.7/s elapsed=00:00:55 eta=05:25:59
... samples=420000/145422675 ( 0.289%) cycle_sigs=16384 lift_hashes=1 rate=  7410.4/s elapsed=00:00:56 eta=05:26:07
... samples=425000/145422675 ( 0.292%) cycle_sigs=16384 lift_hashes=1 rate=  7407.7/s elapsed=00:00:57 eta=05:26:13
... samples=430000/145422675 ( 0.296%) cycle_sigs=16384 lift_hashes=1 rate=  7406.1/s elapsed=00:00:58 eta=05:26:17
... samples=435000/145422675 ( 0.299%) cycle_sigs=16384 lift_hashes=1 rate=  7403.3/s elapsed=00:00:58 eta=05:26:24
... samples=440000/145422675 ( 0.303%) cycle_sigs=16384 lift_hashes=1 rate=  7400.6/s elapsed=00:00:59 eta=05:26:30
... samples=445000/145422675 ( 0.306%) cycle_sigs=16384 lift_hashes=1 rate=  7399.3/s elapsed=00:01:00 eta=05:26:33
... samples=450000/145422675 ( 0.309%) cycle_sigs=16384 lift_hashes=1 rate=  7397.5/s elapsed=00:01:00 eta=05:26:37
... samples=455000/145422675 ( 0.313%) cycle_sigs=16384 lift_hashes=1 rate=  7396.0/s elapsed=00:01:01 eta=05:26:40
... samples=460000/145422675 ( 0.316%) cycle_sigs=16384 lift_hashes=1 rate=  7395.1/s elapsed=00:01:02 eta=05:26:42
... samples=465000/145422675 ( 0.320%) cycle_sigs=16384 lift_hashes=1 rate=  7393.9/s elapsed=00:01:02 eta=05:26:45
... samples=470000/145422675 ( 0.323%) cycle_sigs=16384 lift_hashes=1 rate=  7394.7/s elapsed=00:01:03 eta=05:26:42
... samples=475000/145422675 ( 0.327%) cycle_sigs=16384 lift_hashes=1 rate=  7395.7/s elapsed=00:01:04 eta=05:26:38
... samples=480000/145422675 ( 0.330%) cycle_sigs=16384 lift_hashes=1 rate=  7396.2/s elapsed=00:01:04 eta=05:26:36
... samples=485000/145422675 ( 0.334%) cycle_sigs=16384 lift_hashes=1 rate=  7397.5/s elapsed=00:01:05 eta=05:26:32
... samples=490000/145422675 ( 0.337%) cycle_sigs=16384 lift_hashes=1 rate=  7397.5/s elapsed=00:01:06 eta=05:26:32
... samples=495000/145422675 ( 0.340%) cycle_sigs=16384 lift_hashes=1 rate=  7397.4/s elapsed=00:01:06 eta=05:26:31
... samples=500000/145422675 ( 0.344%) cycle_sigs=16384 lift_hashes=1 rate=  7396.7/s elapsed=00:01:07 eta=05:26:32
... samples=505000/145422675 ( 0.347%) cycle_sigs=16384 lift_hashes=1 rate=  7390.5/s elapsed=00:01:08 eta=05:26:48
... samples=510000/145422675 ( 0.351%) cycle_sigs=16384 lift_hashes=1 rate=  7388.1/s elapsed=00:01:09 eta=05:26:54
... samples=515000/145422675 ( 0.354%) cycle_sigs=16384 lift_hashes=1 rate=  7388.2/s elapsed=00:01:09 eta=05:26:53
... samples=520000/145422675 ( 0.358%) cycle_sigs=16384 lift_hashes=1 rate=  7386.9/s elapsed=00:01:10 eta=05:26:56
